GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19
Id,Id2,Geography,Total:,Asian Indian,Bangladeshi,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian,"Other Asian, not specified"
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",275,31,0,0,154,18,0,0,26,18,0,0,0,0,2,12,14,0,0
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",146,13,0,0,58,20,0,0,30,14,0,0,0,0,1,0,9,0,1
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",334,30,0,0,137,50,0,3,49,28,2,1,3,0,5,4,9,2,11
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",238,33,0,5,70,36,0,0,45,24,1,0,0,1,5,3,11,2,2
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",166,15,0,6,41,37,0,0,41,9,0,0,0,2,3,1,8,0,3
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",73,5,0,3,18,3,0,0,8,9,0,0,0,0,0,0,22,0,5
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",169,17,0,1,46,27,0,0,9,10,6,0,0,0,0,6,41,1,5
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",277,78,0,16,81,34,0,0,13,5,0,0,3,0,0,0,40,0,7
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",107,55,0,0,25,5,0,0,4,8,0,0,0,0,0,1,7,0,2
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",347,105,0,17,39,49,0,0,18,15,1,0,2,0,0,0,98,0,3
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",502,67,0,6,137,140,0,1,21,30,4,0,0,0,1,1,87,1,6
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",272,31,0,9,59,79,0,0,28,7,2,0,0,5,0,2,45,2,3
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",311,3,0,14,84,66,0,0,2,45,7,0,0,0,1,0,86,1,2
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",510,3,0,16,239,63,2,0,5,13,26,0,0,0,0,1,142,0,0
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",119,11,0,56,24,9,0,1,3,5,4,4,0,0,0,0,2,0,0
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",160,18,0,1,52,7,0,0,6,3,12,0,0,0,0,0,47,0,14
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",77,5,0,22,7,12,0,0,3,0,6,0,0,0,0,2,16,0,4
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",40,1,0,16,4,4,0,1,1,2,7,0,0,0,0,0,4,0,0
1400000US06001401900,06001401900,"Census Tract 4019, Alameda County, California",57,9,0,0,34,8,0,1,0,0,0,0,0,0,0,0,4,0,1
1400000US06001402000,06001402000,"Census Tract 4020, Alameda County, California",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US06001402100,06001402100,"Census Tract 4021, Alameda County, California",129,0,0,56,2,2,0,0,0,0,4,0,0,0,0,0,64,0,1
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",111,17,0,44,22,6,0,0,1,1,4,0,0,0,0,0,14,0,2
1400000US06001402300,06001402300,"Census Tract 4023, Alameda County, California",18,0,0,0,10,4,0,0,0,1,0,0,0,0,0,0,3,0,0
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",269,3,0,5,59,35,0,4,2,109,0,0,0,0,1,1,44,0,6
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",210,3,0,47,25,11,0,0,0,1,9,0,0,0,0,0,104,0,10
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",400,1,0,6,242,94,0,0,2,1,0,0,0,4,0,0,49,0,1
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",151,0,0,11,83,29,0,0,4,6,0,0,2,0,0,0,16,0,0
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",253,11,0,17,121,47,0,0,8,6,0,0,1,0,0,0,37,0,5
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",403,9,0,2,202,66,0,2,3,80,0,0,1,0,2,0,17,0,19
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",2439,3,0,19,2277,23,0,10,15,28,2,0,0,0,7,2,52,0,1
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",607,4,0,1,489,45,0,1,5,8,4,0,0,3,0,0,47,0,0
1400000US06001403200,06001403200,"Census Tract 4032, Alameda County, California",12,0,0,0,8,1,0,0,1,0,1,0,0,0,1,0,0,0,0
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",1758,12,0,0,1644,31,0,2,13,5,0,2,1,0,2,0,42,0,4
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",919,44,0,2,553,135,1,1,38,60,0,3,2,0,7,5,51,2,15
1400000US06001403500,06001403500,"Census Tract 4035, Alameda County, California",944,42,1,4,454,95,0,5,69,152,28,1,1,2,3,4,33,6,44
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",433,23,0,2,191,81,0,1,38,38,2,0,1,0,2,5,41,1,7
1400000US06001403700,06001403700,"Census Tract 4037, Alameda County, California",472,26,0,3,219,104,0,0,32,45,0,0,5,3,3,0,26,3,3
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",476,11,0,1,262,62,0,3,73,20,3,0,0,0,1,1,31,1,7
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",386,28,0,2,195,58,0,1,42,30,0,0,0,0,1,3,16,1,9
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",293,27,0,0,94,49,0,1,47,34,1,0,8,0,2,4,18,0,8
1400000US06001404100,06001404100,"Census Tract 4041, Alameda County, California",487,56,1,0,176,59,0,11,81,50,0,1,2,3,0,7,28,0,12
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",243,14,0,0,117,24,0,0,47,16,0,1,3,0,4,2,4,1,10
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",229,15,0,1,118,16,0,5,45,20,1,0,0,0,2,0,4,0,2
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",545,22,0,6,321,42,0,1,83,45,0,0,2,0,2,7,8,0,6
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",139,7,0,0,100,5,0,0,16,7,0,0,0,0,0,4,0,0,0
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",535,41,0,9,285,61,0,1,74,40,0,0,2,0,3,1,13,0,5
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",395,23,0,1,195,34,0,0,87,33,0,0,0,3,2,0,16,0,1
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",143,2,0,0,84,5,0,0,28,8,0,0,0,0,0,0,16,0,0
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",409,9,0,0,260,78,0,1,15,13,9,0,0,0,3,3,15,1,2
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",847,14,0,6,579,106,0,1,60,16,2,0,1,0,0,2,57,0,3
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",360,19,0,1,234,31,0,0,35,12,0,1,0,0,1,1,24,0,1
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",352,13,0,0,216,47,0,2,46,10,0,0,0,0,4,1,10,0,3
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",1738,29,0,13,1453,65,0,1,55,47,14,0,0,0,2,4,44,0,11
1400000US06001405300,06001405300,"Census Tract 4053, Alameda County, California",1520,29,0,19,883,112,0,1,52,47,35,1,10,1,0,10,290,10,20
1400000US06001405400,06001405400,"Census Tract 4054, Alameda County, California",3219,22,0,158,2016,192,0,0,17,19,49,0,0,0,1,4,721,0,20
1400000US06001405500,06001405500,"Census Tract 4055, Alameda County, California",1965,7,0,45,1336,63,0,2,9,7,59,1,2,0,1,0,413,1,19
1400000US06001405600,06001405600,"Census Tract 4056, Alameda County, California",1393,12,0,78,937,56,0,1,16,18,60,0,2,0,1,1,191,3,17
1400000US06001405700,06001405700,"Census Tract 4057, Alameda County, California",1153,14,0,31,678,65,0,0,9,61,113,0,3,0,0,1,171,0,7
1400000US06001405800,06001405800,"Census Tract 4058, Alameda County, California",1947,25,0,81,977,25,0,0,8,6,392,0,0,0,2,1,413,1,16
1400000US06001405900,06001405900,"Census Tract 4059, Alameda County, California",3177,48,0,409,1421,216,0,0,4,8,388,0,0,0,1,1,634,2,45
1400000US06001406000,06001406000,"Census Tract 4060, Alameda County, California",1582,22,0,79,960,92,0,1,11,20,10,0,3,0,3,3,349,5,24
1400000US06001406100,06001406100,"Census Tract 4061, Alameda County, California",406,4,0,22,158,75,0,1,15,8,13,0,4,0,0,9,95,0,2
1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California",1446,25,0,188,596,61,0,2,7,4,281,0,0,0,0,1,253,0,28
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",688,9,0,36,207,234,0,0,7,0,48,0,0,0,1,1,144,0,1
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",1167,43,0,75,439,149,0,0,9,4,195,0,0,0,0,5,200,2,46
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",511,5,0,16,229,116,0,0,9,5,48,1,0,0,0,3,78,1,0
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",1384,14,0,47,630,223,0,1,5,19,174,0,0,0,0,8,244,0,19
1400000US06001406600,06001406600,"Census Tract 4066, Alameda County, California",2317,34,0,70,1314,369,0,3,26,37,99,0,0,0,0,3,339,5,18
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",1098,15,0,7,807,103,0,13,74,27,0,3,0,0,0,2,46,0,1
