GEOID,NAME,label,top1,top2,top3,pop,pct_asn,pct_tot,metro
36061000800,"Census Tract 8, New York County, New York",Chinese,"7,353",94%,79%,7353,0.94,0.79,13
06073013310,"Census Tract 133.1, San Diego County, California",Filipino,"6,661",69%,23%,6661,0.69,0.23,20
36061000600,"Census Tract 6, New York County, New York",Chinese,"6,553",99%,60%,6553,0.99,0.6,13
34023001416,"Census Tract 14.16, Middlesex County, New Jersey",Asian Indian,"6,414",85%,69%,6414,0.85,0.69,13
48157673101,"Census Tract 6731.01, Fort Bend County, Texas",Asian Indian,"6,407",48%,10%,6407,0.48,0.1,8
17031841100,"Census Tract 8411, Cook County, Illinois",Chinese,"5,981",98%,88%,5981,0.98,0.88,6
15003008800,"Census Tract 88, Honolulu County, Hawaii",Filipino,"5,943",80%,61%,5943,0.8,0.61,25
15003008701,"Census Tract 87.01, Honolulu County, Hawaii",Filipino,"5,518",81%,63%,5518,0.81,0.63,25
36061001600,"Census Tract 16, New York County, New York",Chinese,"5,365",96%,74%,5365,0.96,0.74,13
15009031103,"Census Tract 311.03, Maui County, Hawaii",Filipino,"5,258",82%,54%,5258,0.82,0.54,9
48157674400,"Census Tract 6744, Fort Bend County, Texas",Asian Indian,"5,157",49%,29%,5157,0.49,0.29,8
15003006000,"Census Tract 60, Honolulu County, Hawaii",Filipino,"4,994",89%,72%,4994,0.89,0.72,25
48113014127,"Census Tract 141.27, Dallas County, Texas",Asian Indian,"4,980",86%,51%,4980,0.86,0.51,4
06073013313,"Census Tract 133.13, San Diego County, California",Filipino,"4,951",85%,31%,4951,0.85,0.31,20
06059088903,"Census Tract 889.03, Orange County, California",Vietnamese,"4,898",86%,55%,4898,0.86,0.55,11
06059088901,"Census Tract 889.01, Orange County, California",Vietnamese,"4,640",90%,65%,4640,0.9,0.65,11
36081088901,"Census Tract 889.01, Queens County, New York",Chinese,"4,627",76%,42%,4627,0.76,0.42,13
36081084900,"Census Tract 849, Queens County, New York",Chinese,"4,612",88%,65%,4612,0.88,0.65,13
48157673902,"Census Tract 6739.02, Fort Bend County, Texas",Asian Indian,"4,573",57%,39%,4573,0.57,0.39,8
36061004100,"Census Tract 41, New York County, New York",Chinese,"4,491",92%,53%,4491,0.92,0.53,13
36047010400,"Census Tract 104, Kings County, New York",Chinese,"4,414",96%,78%,4414,0.96,0.78,13
36081116300,"Census Tract 1163, Queens County, New York",Chinese,"4,372",69%,46%,4372,0.69,0.46,13
36061002900,"Census Tract 29, New York County, New York",Chinese,"4,358",91%,63%,4358,0.91,0.63,13
15003008617,"Census Tract 86.17, Honolulu County, Hawaii",Filipino,"4,339",69%,40%,4339,0.69,0.4,25
06059110605,"Census Tract 1106.05, Orange County, California",Korean,"4,288",88%,63%,4288,0.88,0.63,11
15003006402,"Census Tract 64.02, Honolulu County, Hawaii",Filipino,"4,111",79%,57%,4111,0.79,0.57,25
06059089001,"Census Tract 890.01, Orange County, California",Vietnamese,"4,032",94%,52%,4032,0.94,0.52,11
06075010700,"Census Tract 107, San Francisco County, California",Chinese,"4,013",96%,73%,4013,0.96,0.73,21
15003008402,"Census Tract 84.02, Honolulu County, Hawaii",Filipino,"3,994",88%,49%,3994,0.88,0.49,25
36081083700,"Census Tract 837, Queens County, New York",Chinese,"3,987",88%,71%,3987,0.88,0.71,13
48157672900,"Census Tract 6729, Fort Bend County, Texas",Asian Indian,"3,925",29%,8%,3925,0.29,0.08,8
06037481401,"Census Tract 4814.01, Los Angeles County, California",Chinese,"3,899",77%,61%,3899,0.77,0.61,11
06059001704,"Census Tract 17.04, Orange County, California",Korean,"3,896",79%,50%,3896,0.79,0.5,11
06085504901,"Census Tract 5049.01, Santa Clara County, California",Asian Indian,"3,878",59%,37%,3878,0.59,0.37,22
06075061100,"Census Tract 611, San Francisco County, California",Chinese,"3,847",92%,84%,3847,0.92,0.84,21
36047010600,"Census Tract 106, Kings County, New York",Chinese,"3,835",98%,79%,3835,0.98,0.79,13
06059088905,"Census Tract 889.05, Orange County, California",Vietnamese,"3,831",95%,70%,3831,0.95,0.7,11
34023001506,"Census Tract 15.06, Middlesex County, New Jersey",Asian Indian,"3,810",91%,66%,3810,0.91,0.66,13
06075035300,"Census Tract 353, San Francisco County, California",Chinese,"3,787",81%,50%,3787,0.81,0.5,21
06059052418,"Census Tract 524.18, Orange County, California",Chinese,"3,753",36%,19%,3753,0.36,0.19,11
06075035100,"Census Tract 351, San Francisco County, California",Chinese,"3,739",74%,41%,3739,0.74,0.41,21
06037481402,"Census Tract 4814.02, Los Angeles County, California",Chinese,"3,714",74%,51%,3714,0.74,0.51,11
36081085300,"Census Tract 853, Queens County, New York",Chinese,"3,706",83%,73%,3706,0.83,0.73,13
06059099702,"Census Tract 997.02, Orange County, California",Vietnamese,"3,697",89%,45%,3697,0.89,0.45,11
36081086300,"Census Tract 863, Queens County, New York",Chinese,"3,649",68%,54%,3649,0.68,0.54,13
06075033000,"Census Tract 330, San Francisco County, California",Chinese,"3,632",77%,43%,3632,0.77,0.43,21
06037432000,"Census Tract 4320, Los Angeles County, California",Chinese,"3,629",74%,45%,3629,0.74,0.45,11
06059088904,"Census Tract 889.04, Orange County, California",Vietnamese,"3,609",82%,63%,3609,0.82,0.63,11
34023008503,"Census Tract 85.03, Middlesex County, New Jersey",Asian Indian,"3,591",79%,39%,3591,0.79,0.39,13
36061001800,"Census Tract 18, New York County, New York",Chinese,"3,584",85%,45%,3584,0.85,0.45,13
06059099701,"Census Tract 997.01, Orange County, California",Vietnamese,"3,582",90%,58%,3582,0.9,0.58,11
06085505006,"Census Tract 5050.06, Santa Clara County, California",Asian Indian,"3,542",62%,38%,3542,0.62,0.38,22
06001441925,"Census Tract 4419.25, Alameda County, California",Asian Indian,"3,526",74%,51%,3526,0.74,0.51,21
51107611900,"Census Tract 6119, Loudoun County, Virginia",Asian Indian,"3,481",68%,34%,3481,0.68,0.34,26
36047010200,"Census Tract 102, Kings County, New York",Chinese,"3,443",98%,68%,3443,0.98,0.68,13
53033023201,"Census Tract 232.01, King County, Washington",Asian Indian,"3,443",82%,50%,3443,0.82,0.5,23
