GEOID,NAME,label,top1,top2,top3,pop,pct_nhpi,pct_tot,metro
15003940002,"Census Tract 9400.02, Honolulu County, Hawaii",Native Hawaiian,"3,149",91%,45%,3149,0.91,0.45,25
15003009603,"Census Tract 96.03, Honolulu County, Hawaii",Native Hawaiian,"2,560",73%,24%,2560,0.73,0.24,25
15003009703,"Census Tract 97.03, Honolulu County, Hawaii",Native Hawaiian,"2,088",87%,30%,2088,0.87,0.3,25
15009031801,"Census Tract 318.01, Maui County, Hawaii",Native Hawaiian,"1,689",96%,61%,1689,0.96,0.61,9
15003009701,"Census Tract 97.01, Honolulu County, Hawaii",Native Hawaiian,"1,679",76%,28%,1679,0.76,0.28,25
15003009608,"Census Tract 96.08, Honolulu County, Hawaii",Native Hawaiian,"1,658",72%,33%,1658,0.72,0.33,25
05143010302,"Census Tract 103.02, Washington County, Arkansas",Marshallese,"1,621",93%,11%,1621,0.93,0.11,3
15003004400,"Census Tract 44, Honolulu County, Hawaii",Native Hawaiian,"1,405",95%,24%,1405,0.95,0.24,25
15003009802,"Census Tract 98.02, Honolulu County, Hawaii",Native Hawaiian,"1,382",52%,19%,1382,0.52,0.19,25
15009031700,"Census Tract 317, Maui County, Hawaii",Native Hawaiian,"1,379",99%,33%,1379,0.99,0.33,9
15009030800,"Census Tract 308, Maui County, Hawaii",Native Hawaiian,"1,303",94%,17%,1303,0.94,0.17,9
15003011500,"Census Tract 115, Honolulu County, Hawaii",Native Hawaiian,"1,297",87%,15%,1297,0.87,0.15,25
15003940001,"Census Tract 9400.01, Honolulu County, Hawaii",Native Hawaiian,"1,234",91%,32%,1234,0.91,0.32,25
15009030301,"Census Tract 303.01, Maui County, Hawaii",Native Hawaiian,"1,179",94%,12%,1179,0.94,0.12,9
02020000600,"Census Tract 6, Anchorage Municipality, Alaska",Samoan,"1,164",91%,18%,1164,0.91,0.18,7
15003009704,"Census Tract 97.04, Honolulu County, Hawaii",Native Hawaiian,"1,141",83%,31%,1141,0.83,0.31,25
15003008606,"Census Tract 86.06, Honolulu County, Hawaii",Native Hawaiian,"1,063",60%,9%,1063,0.6,0.09,25
05143010200,"Census Tract 102, Washington County, Arkansas",Marshallese,"1,025",98%,13%,1025,0.98,0.13,3
06067004300,"Census Tract 43, Sacramento County, California",Fijian,878,81%,10%,878,0.81,0.1,18
49035113537,"Census Tract 1135.37, Salt Lake County, Utah",Tongan,869,89%,20%,869,0.89,0.2,19
15009030903,"Census Tract 309.03, Maui County, Hawaii",Native Hawaiian,821,93%,12%,821,0.93,0.12,9
15009031101,"Census Tract 311.01, Maui County, Hawaii",Native Hawaiian,819,37%,9%,819,0.37,0.09,9
06081612000,"Census Tract 6120, San Mateo County, California",Tongan,812,97%,11%,812,0.97,0.11,21
15009030100,"Census Tract 301, Maui County, Hawaii",Native Hawaiian,788,98%,46%,788,0.98,0.46,9
15003010201,"Census Tract 102.01, Honolulu County, Hawaii",Native Hawaiian,747,62%,14%,747,0.62,0.14,25
15003011300,"Census Tract 113, Honolulu County, Hawaii",Native Hawaiian,701,65%,11%,701,0.65,0.11,25
05143010301,"Census Tract 103.01, Washington County, Arkansas",Marshallese,699,100%,7%,699,1,0.07,3
15009030402,"Census Tract 304.02, Maui County, Hawaii",Native Hawaiian,688,95%,8%,688,0.95,0.08,9
15009031000,"Census Tract 310, Maui County, Hawaii",Native Hawaiian,622,60%,7%,622,0.6,0.07,9
15003008703,"Census Tract 87.03, Honolulu County, Hawaii",Samoan,617,21%,9%,617,0.21,0.09,25
49035102802,"Census Tract 1028.02, Salt Lake County, Utah",Tongan,616,90%,11%,616,0.9,0.11,19
15003010303,"Census Tract 103.03, Honolulu County, Hawaii",Native Hawaiian,615,91%,14%,615,0.91,0.14,25
53033030802,"Census Tract 308.02, King County, Washington",Marshallese,595,97%,15%,595,0.97,0.15,23
15003008412,"Census Tract 84.12, Honolulu County, Hawaii",Native Hawaiian,586,80%,9%,586,0.8,0.09,25
15003000106,"Census Tract 1.06, Honolulu County, Hawaii",Native Hawaiian,564,91%,7%,564,0.91,0.07,25
02020000703,"Census Tract 7.03, Anchorage Municipality, Alaska",Samoan,554,97%,10%,554,0.97,0.1,7
05007021406,"Census Tract 214.06, Benton County, Arkansas",Marshallese,551,100%,9%,551,1,0.09,3
