STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,CSAFP,CBSAFP,GEOID_2,NAMELSAD_2,TOP 20_CBS,TOP 20_EST
"51","179","01480173","51179",Stafford,Stafford County,"548","47900","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","47900","6216710"
"18","073","00450494","18073",Jasper,Jasper County,"176","16980","16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","16980","9533895"
"25","025","00606939","25025",Suffolk,Suffolk County,"148","14460","14460","Boston-Cambridge-Newton, MA-NH Metro Area","14460","4836531"
"12","053","00295751","12053",Hernando,Hernando County,,"45300","45300","Tampa-St. Petersburg-Clearwater, FL Metro Area","45300","3091399"
"34","037","00882236","34037",Sussex,Sussex County,"408","35620","35620","New York-Newark-Jersey City, NY-NJ-PA Metro Area","35620","20320876"
"27","095","00659493","27095",Mille Lacs,Mille Lacs County,"378","33460","33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","33460","3600618"
"41","005","01155127","41005",Clackamas,Clackamas County,"440","38900","38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","38900","2451560"
"45","023","01247988","45023",Chester,Chester County,"172","16740","16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","16740","2525305"
"55","093","01581107","55093",Pierce,Pierce County,"378","33460","33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","33460","3600618"
"17","005","00424204","17005",Bond,Bond County,"476","41180","41180","St. Louis, MO-IL Metro Area","41180","2807216"
"24","510","01702381","24510",Baltimore,Baltimore city,"548","12580","12580","Baltimore-Columbia-Towson, MD Metro Area","12580","2808175"
"18","111","00450376","18111",Newton,Newton County,"176","16980","16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","16980","9533895"
"48","019","01383795","48019",Bandera,Bandera County,"484","41700","41700","San Antonio-New Braunfels, TX Metro Area","41700","2473974"
"34","007","00882273","34007",Camden,Camden County,"428","37980","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","37980","6096120"
"17","083","00424243","17083",Jersey,Jersey County,"476","41180","41180","St. Louis, MO-IL Metro Area","41180","2807216"
"37","109","01008569","37109",Lincoln,Lincoln County,"172","16740","16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","16740","2525305"
"12","095","00295750","12095",Orange,Orange County,"422","36740","36740","Orlando-Kissimmee-Sanford, FL Metro Area","36740","2509831"
