NAMELSAD_2,metro
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2
"Boston-Cambridge-Newton, MA-NH Metro Area",3
"Tampa-St. Petersburg-Clearwater, FL Metro Area",4
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",5
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",6
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",7
"Charlotte-Concord-Gastonia, NC-SC Metro Area",8
"St. Louis, MO-IL Metro Area",9
"Baltimore-Columbia-Towson, MD Metro Area",10
"San Antonio-New Braunfels, TX Metro Area",11
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",12
"Orlando-Kissimmee-Sanford, FL Metro Area",13
"Dallas-Fort Worth-Arlington, TX Metro Area",14
"Detroit-Warren-Dearborn, MI Metro Area",15
"Denver-Aurora-Lakewood, CO Metro Area",16
"Los Angeles-Long Beach-Anaheim, CA Metro Area",17
"Houston-The Woodlands-Sugar Land, TX Metro Area",18
"Riverside-San Bernardino-Ontario, CA Metro Area",19
"Seattle-Tacoma-Bellevue, WA Metro Area",20
