GEOID,NAMELSAD,NAMELSAD_2
"34037",Sussex County,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
"41005",Clackamas County,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
"32003",Clark County,"Las Vegas-Henderson-Paradise, NV Metro Area"
"48397",Rockwall County,"Dallas-Fort Worth-Arlington, TX Metro Area"
"41051",Multnomah County,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
"06067",Sacramento County,"Sacramento-Roseville-Folsom, CA Metro Area"
"15003",Honolulu County,"Urban Honolulu, HI Metro Area"
"06037",Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
"04021",Pinal County,"Phoenix-Mesa-Chandler, AZ Metro Area"
"48157",Fort Bend County,"Houston-The Woodlands-Sugar Land, TX Metro Area"
"36103",Suffolk County,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
"48367",Parker County,"Dallas-Fort Worth-Arlington, TX Metro Area"
"34039",Union County,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
"06073",San Diego County,"San Diego-Chula Vista-Carlsbad, CA Metro Area"
"06061",Placer County,"Sacramento-Roseville-Folsom, CA Metro Area"
"06075",San Francisco County,"San Francisco-Oakland-Berkeley, CA Metro Area"
"02020",Anchorage Municipality,"Anchorage, AK Metro Area"
"06041",Marin County,"San Francisco-Oakland-Berkeley, CA Metro Area"
"48257",Kaufman County,"Dallas-Fort Worth-Arlington, TX Metro Area"
"04013",Maricopa County,"Phoenix-Mesa-Chandler, AZ Metro Area"
"48251",Johnson County,"Dallas-Fort Worth-Arlington, TX Metro Area"
"48473",Waller County,"Houston-The Woodlands-Sugar Land, TX Metro Area"
"36059",Nassau County,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
"34023",Middlesex County,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
"06071",San Bernardino County,"Riverside-San Bernardino-Ontario, CA Metro Area"
"06013",Contra Costa County,"San Francisco-Oakland-Berkeley, CA Metro Area"
"36119",Westchester County,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
"53061",Snohomish County,"Seattle-Tacoma-Bellevue, WA Metro Area"
"05143",Washington County,"Fayetteville-Springdale-Rogers, AR Metro Area"
"48167",Galveston County,"Houston-The Woodlands-Sugar Land, TX Metro Area"
"48201",Harris County,"Houston-The Woodlands-Sugar Land, TX Metro Area"
"34017",Hudson County,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
"48439",Tarrant County,"Dallas-Fort Worth-Arlington, TX Metro Area"
"06017",El Dorado County,"Sacramento-Roseville-Folsom, CA Metro Area"
"49035",Salt Lake County,"Salt Lake City, UT Metro Area"
"36085",Richmond County,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
"06113",Yolo County,"Sacramento-Roseville-Folsom, CA Metro Area"
