GEOID,NAME,label,top1,top2,top3,pop,pct_asn,pct_tot,metro
06073013310,"Census Tract 133.1, San Diego County, California",Filipino,"8,955",83%,28%,8955,0.83,0.28,20
48157673101,"Census Tract 6731.01, Fort Bend County, Texas",Asian Indian,"7,227",48%,10%,7227,0.48,0.1,8
36061000800,"Census Tract 8, New York County, New York",Chinese,"7,222",95%,80%,7222,0.95,0.8,13
34023001416,"Census Tract 14.16, Middlesex County, New Jersey",Asian Indian,"6,370",84%,70%,6370,0.84,0.7,13
17031841100,"Census Tract 8411, Cook County, Illinois",Chinese,"6,027",96%,85%,6027,0.96,0.85,6
15003008800,"Census Tract 88, Honolulu County, Hawaii",Filipino,"5,876",80%,66%,5876,0.8,0.66,25
15009031103,"Census Tract 311.03, Maui County, Hawaii",Filipino,"5,701",86%,53%,5701,0.86,0.53,9
36061000600,"Census Tract 6, New York County, New York",Chinese,"5,441",97%,56%,5441,0.97,0.56,13
36081084900,"Census Tract 849, Queens County, New York",Chinese,"5,254",91%,75%,5254,0.91,0.75,13
06073013313,"Census Tract 133.13, San Diego County, California",Filipino,"5,252",84%,29%,5252,0.84,0.29,20
36061001600,"Census Tract 16, New York County, New York",Chinese,"5,181",97%,73%,5181,0.97,0.73,13
48157674400,"Census Tract 6744, Fort Bend County, Texas",Asian Indian,"5,153",44%,26%,5153,0.44,0.26,8
06059088903,"Census Tract 889.03, Orange County, California",Vietnamese,"5,075",91%,56%,5075,0.91,0.56,11
15003008701,"Census Tract 87.01, Honolulu County, Hawaii",Filipino,"4,995",79%,61%,4995,0.79,0.61,25
48113014127,"Census Tract 141.27, Dallas County, Texas",Asian Indian,"4,958",85%,50%,4958,0.85,0.5,4
15003006000,"Census Tract 60, Honolulu County, Hawaii",Filipino,"4,899",92%,71%,4899,0.92,0.71,25
48157672900,"Census Tract 6729, Fort Bend County, Texas",Asian Indian,"4,650",31%,9%,4650,0.31,0.09,8
36081088901,"Census Tract 889.01, Queens County, New York",Chinese,"4,632",76%,45%,4632,0.76,0.45,13
15003008617,"Census Tract 86.17, Honolulu County, Hawaii",Filipino,"4,584",72%,44%,4584,0.72,0.44,25
06059052418,"Census Tract 524.18, Orange County, California",Chinese,"4,409",39%,20%,4409,0.39,0.2,11
36047010400,"Census Tract 104, Kings County, New York",Chinese,"4,385",97%,82%,4385,0.97,0.82,13
51107611900,"Census Tract 6119, Loudoun County, Virginia",Asian Indian,"4,370",72%,40%,4370,0.72,0.4,26
06059088901,"Census Tract 889.01, Orange County, California",Vietnamese,"4,360",87%,62%,4360,0.87,0.62,11
48157673902,"Census Tract 6739.02, Fort Bend County, Texas",Asian Indian,"4,343",53%,37%,4343,0.53,0.37,8
36061004100,"Census Tract 41, New York County, New York",Chinese,"4,284",93%,53%,4284,0.93,0.53,13
36081116300,"Census Tract 1163, Queens County, New York",Chinese,"4,156",70%,45%,4156,0.7,0.45,13
