NAMELSAD,metro
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1
"Boston-Cambridge-Newton, MA-NH Metro Area",2
"Fayetteville-Springdale-Rogers, AR Metro Area",3
"Dallas-Fort Worth-Arlington, TX Metro Area",4
"Detroit-Warren-Dearborn, MI Metro Area",5
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",6
"Anchorage, AK Metro Area",7
"Houston-The Woodlands-Sugar Land, TX Metro Area",8
"Kahului-Wailuku-Lahaina, HI Metro Area",9
"Las Vegas-Henderson-Paradise, NV Metro Area",10
"Los Angeles-Long Beach-Anaheim, CA Metro Area",11
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",12
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",13
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",14
"Phoenix-Mesa-Chandler, AZ Metro Area",15
"Provo-Orem, UT Metro Area",16
"Riverside-San Bernardino-Ontario, CA Metro Area",17
"Sacramento-Roseville-Folsom, CA Metro Area",18
"Salt Lake City, UT Metro Area",19
"San Diego-Chula Vista-Carlsbad, CA Metro Area",20
"San Francisco-Oakland-Berkeley, CA Metro Area",21
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",22
"Seattle-Tacoma-Bellevue, WA Metro Area",23
"Stockton, CA Metro Area",24
"Urban Honolulu, HI Metro Area",25
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",26
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",27
