GEOID,NAMELSAD,metro
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2
22220,"Fayetteville-Springdale-Rogers, AR Metro Area",3
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",4
19820,"Detroit-Warren-Dearborn, MI Metro Area",5
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",6
11260,"Anchorage, AK Metro Area",7
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",8
27980,"Kahului-Wailuku-Lahaina, HI Metro Area",9
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",10
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",11
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",12
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",13
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",14
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",15
39340,"Provo-Orem, UT Metro Area",16
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",17
40900,"Sacramento-Roseville-Folsom, CA Metro Area",18
41620,"Salt Lake City, UT Metro Area",19
41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",20
41860,"San Francisco-Oakland-Berkeley, CA Metro Area",21
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",22
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",23
44700,"Stockton, CA Metro Area",24
46520,"Urban Honolulu, HI Metro Area",25
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",26
