metro_label,metro,label,poplb
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",13,Chinese,"765,439"
"Los Angeles-Long Beach-Anaheim, CA Metro Area",11,Chinese,"522,658"
"San Francisco-Oakland-Berkeley, CA Metro Area",21,Chinese,"477,466"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",6,Asian Indian,"212,678"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",22,Chinese,"174,909"
"San Diego-Chula Vista-Carlsbad, CA Metro Area",20,Filipino,"157,902"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",26,Asian Indian,"156,677"
"Dallas-Fort Worth-Arlington, TX Metro Area",4,Asian Indian,"154,035"
"Urban Honolulu, HI Metro Area",25,Filipino,"147,841"
"Boston-Cambridge-Newton, MA-NH Metro Area",2,Chinese,"137,882"
"Houston-The Woodlands-Sugar Land, TX Metro Area",8,Asian Indian,"130,333"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",14,Asian Indian,"115,037"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1,Asian Indian,"112,410"
"Las Vegas-Henderson-Paradise, NV Metro Area",10,Filipino,"108,668"
"Seattle-Tacoma-Bellevue, WA Metro Area",23,Chinese,"102,700"
"Riverside-San Bernardino-Ontario, CA Metro Area",17,Filipino,"95,205"
"Detroit-Warren-Dearborn, MI Metro Area",5,Asian Indian,"75,783"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",12,Hmong,"72,849"
"Sacramento-Roseville-Folsom, CA Metro Area",18,Chinese,"62,938"
"Phoenix-Mesa-Chandler, AZ Metro Area",15,Asian Indian,"46,572"
"Stockton, CA Metro Area",24,Filipino,"36,189"
"Kahului-Wailuku-Lahaina, HI Metro Area",9,Filipino,"30,149"
"Anchorage, AK Metro Area",7,Filipino,"13,879"
"Salt Lake City, UT Metro Area",19,Chinese,"9,304"
"Fayetteville-Springdale-Rogers, AR Metro Area",3,Asian Indian,"5,775"
"Provo-Orem, UT Metro Area",16,Chinese,"2,184"
