metro_label,metro,label,poplb
"Urban Honolulu, HI Metro Area",25,Native Hawaiian,"50,269"
"Los Angeles-Long Beach-Anaheim, CA Metro Area",11,Samoan,"14,640"
"Kahului-Wailuku-Lahaina, HI Metro Area",9,Native Hawaiian,"13,139"
"Seattle-Tacoma-Bellevue, WA Metro Area",23,Samoan,"11,758"
"Sacramento-Roseville-Folsom, CA Metro Area",18,Fijian,"9,365"
"San Francisco-Oakland-Berkeley, CA Metro Area",21,Tongan,"8,192"
"Salt Lake City, UT Metro Area",19,Tongan,"8,132"
"Las Vegas-Henderson-Paradise, NV Metro Area",10,Native Hawaiian,"6,420"
"Fayetteville-Springdale-Rogers, AR Metro Area",3,Marshallese,"5,175"
"San Diego-Chula Vista-Carlsbad, CA Metro Area",20,Guamanian or Chamorro,"4,918"
"Riverside-San Bernardino-Ontario, CA Metro Area",17,Samoan,"4,611"
"Anchorage, AK Metro Area",7,Samoan,"4,574"
"Phoenix-Mesa-Chandler, AZ Metro Area",15,Native Hawaiian,"3,179"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",27,Native Hawaiian,"3,032"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",22,Samoan,"2,396"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",13,Native Hawaiian,"1,993"
"Dallas-Fort Worth-Arlington, TX Metro Area",4,Native Hawaiian,"1,871"
"Provo-Orem, UT Metro Area",16,Samoan,"1,662"
"Stockton, CA Metro Area",24,Fijian,"1,481"
"Houston-The Woodlands-Sugar Land, TX Metro Area",8,Guamanian or Chamorro,"1,438"
