NAMELSAD,top_metro_metroP,top_metro_asnP,top_metro_nhpiP,GEOID_2,NAMELSAD_2
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13171",Lamar County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13063",Clayton County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13089",DeKalb County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13227",Pickens County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13045",Carroll County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13297",Walton County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13013",Barrow County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13223",Paulding County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13199",Meriwether County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13113",Fayette County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13143",Haralson County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13015",Bartow County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13077",Coweta County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13159",Jasper County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13151",Henry County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13085",Dawson County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13097",Douglas County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13211",Morgan County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13135",Gwinnett County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13231",Pike County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13247",Rockdale County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13121",Fulton County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13149",Heard County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13067",Cobb County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13057",Cherokee County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13217",Newton County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13255",Spalding County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13035",Butts County
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5700990","319647","2306","13117",Forsyth County
"Boston-Cambridge-Newton, MA-NH Metro Area","4771936","359705","1260","25025",Suffolk County
"Boston-Cambridge-Newton, MA-NH Metro Area","4771936","359705","1260","25017",Middlesex County
"Boston-Cambridge-Newton, MA-NH Metro Area","4771936","359705","1260","33015",Rockingham County
"Boston-Cambridge-Newton, MA-NH Metro Area","4771936","359705","1260","25009",Essex County
"Boston-Cambridge-Newton, MA-NH Metro Area","4771936","359705","1260","33017",Strafford County
"Boston-Cambridge-Newton, MA-NH Metro Area","4771936","359705","1260","25021",Norfolk County
"Boston-Cambridge-Newton, MA-NH Metro Area","4771936","359705","1260","25023",Plymouth County
"Fayetteville-Springdale-Rogers, AR Metro Area","6090196","605691","3714","05143",Washington County
"Fayetteville-Springdale-Rogers, AR Metro Area","6090196","605691","3714","05007",Benton County
"Fayetteville-Springdale-Rogers, AR Metro Area","6090196","605691","3714","05087",Madison County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48397",Rockwall County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48367",Parker County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48257",Kaufman County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48251",Johnson County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48439",Tarrant County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48497",Wise County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48139",Ellis County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48231",Hunt County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48085",Collin County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48121",Denton County
"Dallas-Fort Worth-Arlington, TX Metro Area","7104415","448434","7130","48113",Dallas County
"Detroit-Warren-Dearborn, MI Metro Area","4304613","174968","1163","26163",Wayne County
"Detroit-Warren-Dearborn, MI Metro Area","4304613","174968","1163","26087",Lapeer County
"Detroit-Warren-Dearborn, MI Metro Area","4304613","174968","1163","26147",St. Clair County
"Detroit-Warren-Dearborn, MI Metro Area","4304613","174968","1163","26093",Livingston County
"Detroit-Warren-Dearborn, MI Metro Area","4304613","174968","1163","26099",Macomb County
"Detroit-Warren-Dearborn, MI Metro Area","4304613","174968","1163","26125",Oakland County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","18073",Jasper County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","18111",Newton County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","18089",Lake County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17093",Kendall County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","55059",Kenosha County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17031",Cook County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17037",DeKalb County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","18127",Porter County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17089",Kane County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17063",Grundy County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17197",Will County
